State,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama, 132.1, 126.5, 112.0, 98.4, 96.1, 105.4, 111.6, 112.2, 117.8, 133.9, 143.7, 152.8, 164.9, 159.5, 171.2, 185.8, 167.0, 160.5, 130.9, 121.2, 128.2, 125.0, 133.1, 134.1, 133.5, 141.7, 153.6, 159.9, 157.6, 133.1, 101.6, 102.1, 104.2, 96.1, 96.9
Alaska, 81.8, 114.6, 133.8, 97.1, 109.4, 92.9, 88.0, 73.1, 72.9, 67.6, 76.7, 113.2, 109.0, 122.4, 146.2, 155.1, 117.0, 106.4, 86.6, 91.4, 78.2, 81.1, 76.2, 68.8, 68.0, 81.0, 89.5, 85.0, 94.0, 93.6, 83.2, 79.6, 86.3, 84.5, 85.4
Arizona, 193.6, 177.6, 158.6, 132.4, 131.1, 146.5, 169.2, 138.4, 137.0, 139.0, 160.9, 165.7, 153.1, 162.9, 162.0, 173.8, 167.8, 165.7, 165.2, 152.5, 146.3, 167.1, 147.0, 136.6, 134.5, 144.1, 153.9, 154.0, 150.9, 124.3, 108.4, 110.5, 112.7, 100.3, 92.8
Arkansas, 80.9, 77.4, 78.8, 69.3, 67.6, 68.5, 79.7, 79.1, 84.1, 110.6, 113.2, 135.6, 125.5, 124.9, 128.7, 125.7, 114.1, 111.5, 96.2, 79.3, 74.8, 80.9, 93.3, 81.6, 86.3, 91.2, 97.8, 109.5, 97.3, 89.2, 81.1, 80.2, 78.3, 76.4, 69.1
California, 384.2, 388.2, 372.1, 340.9, 327.5, 327.7, 342.9, 301.3, 305.8, 331.8, 377.0, 411.3, 424.1, 405.1, 356.8, 331.2, 295.6, 252.5, 210.6, 181.1, 177.9, 186.7, 185.6, 179.8, 172.3, 176.0, 195.1, 193.4, 188.8, 173.4, 155.6, 144.1, 148.7, 139.6, 125.5
Colorado, 160.1, 159.5, 150.6, 126.4, 114.0, 124.2, 144.8, 118.8, 98.8, 90.0, 90.6, 107.4, 120.5, 116.7, 106.9, 96.2, 98.2, 83.3, 81.5, 75.3, 70.5, 80.2, 79.5, 82.2, 81.3, 84.7, 80.4, 71.2, 68.9, 67.1, 62.7, 64.5, 65.4, 59.5, 56.7
Connecticut, 218.0, 246.1, 208.5, 200.6, 190.5, 190.0, 192.2, 178.1, 187.6, 214.8, 234.8, 224.4, 210.9, 196.7, 187.8, 163.2, 169.6, 152.9, 133.8, 123.5, 112.5, 121.8, 117.6, 120.8, 119.7, 112.3, 127.3, 122.9, 115.5, 113.7, 99.4, 102.9, 103.3, 98.7, 87.8
Delaware, 137.0, 141.1, 122.4, 115.3, 116.0, 124.3, 124.2, 122.5, 118.8, 138.8, 164.8, 214.7, 151.2, 186.7, 161.6, 198.7, 179.9, 243.6, 194.2, 198.0, 177.9, 145.1, 143.2, 176.1, 161.8, 155.2, 209.8, 203.9, 211.5, 189.8, 204.4, 171.6, 163.3, 133.3, 135.6
District of Columbia, 1400.6, 1635.1, 1448.0, 1235.6, 977.0, 835.5, 754.0, 717.4, 917.7, 1083.1, 1213.5, 1215.6, 1266.4, 1229.6, 1107.2, 1239.0, 1186.7, 850.9, 689.5, 644.3, 621.3, 658.7, 673.6, 706.8, 577.7, 635.7, 658.4, 725.0, 748.5, 734.4, 715.0, 661.4, 637.3, 628.9, 530.7
Florida, 355.5, 348.9, 297.6, 263.4, 276.2, 312.4, 366.8, 356.6, 403.3, 404.0, 416.8, 399.8, 366.9, 357.6, 328.8, 299.9, 289.2, 276.1, 242.7, 211.6, 199.0, 200.7, 195.2, 185.4, 172.5, 169.6, 188.8, 209.1, 197.9, 166.7, 138.5, 134.3, 123.6, 118.4, 125.2
Georgia, 197.6, 196.4, 154.6, 144.2, 144.1, 164.2, 213.9, 209.2, 243.6, 271.1, 263.5, 268.2, 249.8, 248.0, 222.6, 205.2, 205.4, 206.7, 187.2, 166.4, 161.9, 171.3, 157.2, 161.9, 153.1, 153.7, 165.6, 181.2, 183.9, 148.9, 127.4, 125.0, 126.1, 127.1, 123.0
Hawaii, 190.2, 148.4, 156.9, 130.0, 115.9, 99.4, 106.3, 98.0, 84.1, 83.2, 91.4, 86.9, 99.2, 103.6, 103.6, 130.8, 135.6, 118.2, 102.7, 88.1, 92.7, 93.1, 97.5, 93.5, 74.8, 78.6, 89.0, 87.4, 84.2, 79.5, 78.1, 72.1, 80.9, 66.3, 78.0
Idaho, 46.8, 37.7, 30.3, 27.3, 24.4, 26.8, 21.3, 24.2, 20.2, 15.0, 15.0, 20.7, 21.5, 16.9, 18.4, 24.0, 20.3, 19.6, 21.5, 17.8, 17.2, 18.6, 17.9, 17.9, 17.3, 18.6, 20.0, 16.2, 15.7, 16.4, 13.6, 11.9, 15.2, 13.6, 12.5
Illinois, 367.0, 373.2, 346.8, 318.9, 303.8, 287.1, 325.3, 314.3, 312.7, 335.7, 394.0, 456.1, 412.5, 381.2, 372.6, 330.8, 279.4, 278.4, 248.5, 217.4, 206.5, 199.1, 201.1, 188.0, 177.6, 182.2, 185.3, 179.7, 186.4, 177.6, 158.7, 157.2, 151.4, 137.6, 118.8
Indiana, 141.4, 129.0, 109.0, 99.9, 98.9, 92.1, 90.0, 88.6, 89.0, 101.4, 101.3, 116.0, 122.2, 119.8, 130.2, 135.2, 124.1, 132.4, 111.2, 109.3, 103.3, 117.0, 107.4, 103.2, 102.4, 108.7, 113.6, 123.6, 118.9, 114.4, 101.1, 107.1, 101.0, 108.3, 104.5
Iowa, 54.9, 53.6, 36.2, 41.0, 38.3, 41.2, 42.0, 36.2, 39.9, 39.0, 39.2, 45.0, 39.6, 53.9, 46.9, 53.0, 45.1, 55.9, 50.9, 36.6, 36.6, 39.4, 39.8, 38.4, 39.3, 38.9, 43.9, 44.4, 41.6, 39.9, 33.2, 26.9, 31.3, 30.3, 33.6
Kansas, 113.1, 109.7, 87.0, 84.0, 71.6, 78.7, 79.6, 82.1, 85.9, 99.8, 117.6, 138.4, 129.9, 123.6, 115.1, 108.2, 96.3, 97.7, 87.0, 77.1, 76.2, 89.7, 79.8, 82.5, 66.3, 65.3, 67.9, 72.8, 60.0, 63.4, 53.8, 50.4, 51.7, 46.2, 46.9
Kentucky, 95.2, 100.7, 97.3, 87.1, 70.7, 75.7, 82.5, 90.2, 74.3, 76.1, 69.1, 83.1, 87.2, 90.4, 93.9, 103.7, 93.8, 90.7, 88.1, 78.4, 80.6, 80.3, 76.6, 78.3, 78.9, 88.4, 91.5, 95.9, 95.6, 84.4, 86.2, 84.8, 81.0, 73.8, 75.6
Louisiana, 197.0, 202.0, 212.6, 190.0, 190.5, 190.3, 223.8, 179.0, 209.0, 237.3, 269.8, 278.9, 271.4, 283.6, 267.2, 268.6, 276.6, 239.1, 198.0, 173.6, 168.5, 175.9, 159.1, 156.0, 145.7, 118.4, 138.3, 147.1, 141.5, 136.9, 116.5, 114.4, 118.6, 119.7, 122.5
Maine, 30.8, 32.5, 30.5, 27.1, 26.4, 24.4, 27.9, 25.6, 25.8, 24.0, 25.1, 22.7, 23.3, 21.3, 22.4, 26.9, 23.5, 20.7, 21.1, 19.4, 19.4, 20.6, 20.9, 22.1, 22.0, 24.5, 29.0, 26.5, 25.3, 30.3, 31.0, 27.9, 31.6, 25.2, 22.9
Maryland, 392.7, 424.4, 360.5, 347.4, 301.1, 302.2, 304.0, 290.3, 301.3, 332.1, 363.8, 407.1, 429.0, 434.7, 402.5, 423.1, 393.2, 336.8, 298.7, 263.7, 256.0, 251.1, 246.2, 241.3, 229.7, 257.2, 256.0, 236.0, 234.4, 210.7, 191.1, 177.1, 172.9, 169.2, 159.7
Massachusetts, 235.5, 270.9, 213.8, 208.5, 174.6, 188.5, 192.7, 177.3, 176.3, 202.6, 217.1, 194.6, 184.4, 175.7, 168.2, 150.4, 127.7, 109.1, 96.6, 96.0, 91.6, 101.2, 111.6, 124.8, 116.8, 121.8, 125.5, 108.9, 108.9, 113.2, 105.2, 102.4, 98.6, 99.9, 89.5
Michigan, 244.0, 257.5, 271.1, 285.3, 306.7, 292.4, 301.3, 276.5, 241.1, 222.3, 234.0, 243.3, 221.5, 238.5, 228.9, 187.3, 176.2, 152.8, 155.8, 143.0, 138.0, 129.3, 118.0, 111.6, 112.2, 132.1, 140.9, 132.7, 132.4, 124.6, 116.7, 103.9, 105.5, 102.0, 80.9
Minnesota, 99.1, 104.3, 101.3, 79.6, 71.1, 85.8, 102.0, 102.5, 94.7, 94.8, 92.7, 98.0, 109.5, 112.7, 117.6, 123.7, 115.6, 114.7, 92.5, 82.0, 75.5, 75.4, 78.4, 77.1, 79.9, 92.1, 105.3, 91.8, 80.1, 68.7, 63.8, 63.3, 64.6, 67.8, 67.6
Mississippi, 81.0, 81.4, 73.0, 63.8, 60.5, 62.6, 64.6, 57.0, 77.2, 78.3, 86.2, 116.3, 124.5, 139.3, 162.5, 130.9, 134.2, 137.0, 123.3, 111.6, 95.0, 115.2, 117.1, 104.6, 86.3, 82.7, 112.0, 99.2, 104.8, 100.6, 93.5, 83.8, 76.2, 80.6, 81.2
Missouri, 223.6, 215.2, 193.0, 167.9, 140.8, 147.6, 170.2, 164.1, 168.1, 195.0, 216.4, 251.1, 226.9, 241.8, 230.7, 204.0, 170.6, 156.1, 149.2, 130.7, 135.8, 137.8, 123.9, 116.9, 115.1, 124.1, 130.0, 131.5, 125.1, 124.2, 103.2, 104.4, 96.0, 90.8, 92.2
Montana, 34.0, 38.1, 33.1, 23.5, 27.4, 20.9, 19.5, 24.2, 22.6, 17.0, 21.7, 18.6, 26.9, 32.4, 32.7, 29.1, 29.7, 20.4, 26.4, 27.1, 22.5, 25.4, 31.1, 32.5, 25.1, 18.9, 24.7, 24.3, 21.1, 23.4, 15.5, 17.1, 20.1, 21.4, 19.8
Nebraska, 82.2, 70.7, 61.9, 49.8, 43.2, 48.5, 51.1, 47.1, 56.1, 52.0, 51.1, 54.0, 56.7, 62.4, 75.4, 65.2, 63.7, 66.2, 77.6, 75.9, 67.0, 65.6, 78.7, 67.1, 65.1, 59.2, 64.2, 62.8, 72.7, 67.9, 55.7, 53.9, 60.8, 55.4, 55.4
Nevada, 460.6, 458.0, 419.6, 307.2, 279.0, 274.9, 286.9, 272.5, 291.2, 250.6, 238.3, 312.5, 331.3, 340.1, 352.4, 324.6, 307.6, 302.4, 254.9, 232.6, 227.3, 235.1, 236.1, 233.0, 210.3, 194.9, 282.0, 270.4, 249.4, 228.1, 195.9, 158.4, 178.6, 185.7, 209.7
New Hampshire, 42.0, 35.8, 33.9, 24.1, 23.2, 26.7, 23.6, 26.5, 21.1, 23.8, 27.2, 33.0, 33.0, 27.3, 27.1, 27.4, 27.3, 23.4, 21.5, 21.4, 36.7, 35.3, 32.4, 37.2, 38.5, 27.9, 33.1, 34.3, 32.0, 34.3, 34.2, 38.6, 35.6, 48.9, 40.5
New Jersey, 303.7, 334.6, 307.6, 269.0, 242.4, 255.0, 268.7, 232.8, 245.2, 273.3, 301.0, 293.1, 285.2, 296.0, 288.0, 283.0, 235.8, 210.6, 186.2, 174.9, 161.1, 165.8, 162.7, 154.4, 150.6, 151.8, 153.1, 144.7, 146.3, 133.7, 134.3, 138.2, 128.4, 135.6, 117.5
New Mexico, 127.9, 140.8, 126.2, 114.0, 130.3, 138.1, 129.5, 108.3, 103.1, 105.2, 115.1, 120.3, 139.3, 138.4, 140.8, 154.5, 162.4, 171.4, 163.4, 148.2, 137.4, 147.2, 119.1, 103.1, 108.4, 98.3, 107.2, 117.9, 108.4, 96.1, 78.2, 82.7, 88.6, 87.8, 100.0
New York, 641.3, 684.0, 610.7, 536.5, 506.9, 504.4, 514.1, 503.3, 544.4, 579.3, 624.7, 622.1, 596.9, 561.2, 476.7, 399.7, 340.0, 309.3, 270.3, 240.8, 213.6, 191.5, 191.6, 186.3, 173.8, 182.1, 178.5, 161.1, 163.1, 144.0, 147.6, 145.7, 146.3, 138.3, 121.8
North Carolina, 82.3, 80.8, 85.9, 79.6, 74.8, 78.2, 87.7, 93.9, 108.6, 133.5, 152.1, 178.0, 186.8, 192.4, 181.2, 179.2, 163.9, 172.6, 160.8, 158.0, 156.5, 162.1, 146.9, 145.2, 138.0, 145.7, 152.1, 149.4, 155.3, 126.1, 100.6, 97.9, 96.3, 94.2, 84.6
North Dakota, 7.7, 12.9, 12.7, 7.8, 7.7, 6.4, 6.9, 7.6, 8.1, 9.2, 7.8, 8.0, 7.9, 8.3, 11.1, 10.0, 11.0, 6.4, 10.2, 8.8, 8.7, 9.4, 9.1, 8.4, 6.8, 8.5, 11.8, 11.7, 11.4, 16.5, 13.3, 13.3, 18.1, 22.2, 23.4
Ohio, 223.7, 236.9, 183.6, 159.4, 145.6, 133.1, 142.1, 153.1, 161.4, 170.9, 188.5, 215.2, 199.0, 192.7, 187.5, 178.7, 164.1, 158.7, 133.5, 128.0, 137.5, 151.0, 156.6, 147.7, 152.2, 162.8, 169.2, 160.0, 162.9, 153.1, 142.9, 138.6, 133.3, 125.2, 110.0
Oklahoma, 104.9, 115.4, 132.8, 128.7, 111.2, 106.8, 106.5, 109.5, 105.1, 126.2, 121.9, 128.9, 136.2, 121.8, 128.1, 115.6, 106.8, 103.9, 92.0, 82.9, 75.8, 79.1, 85.0, 91.9, 87.7, 91.2, 87.9, 93.8, 101.5, 91.1, 89.0, 86.9, 85.1, 78.5, 78.6
Oregon, 152.4, 180.6, 167.3, 170.3, 168.6, 185.6, 205.9, 196.0, 193.0, 151.8, 144.3, 150.1, 151.4, 129.6, 138.2, 137.9, 122.2, 117.5, 105.2, 86.2, 84.4, 79.1, 77.9, 79.9, 76.6, 68.1, 73.3, 76.4, 70.1, 65.3, 63.1, 57.8, 62.0, 60.9, 52.7
Pennsylvania, 177.9, 186.6, 175.4, 172.3, 148.4, 147.0, 152.1, 144.4, 138.1, 149.7, 176.2, 193.9, 180.7, 179.0, 186.7, 189.3, 189.0, 156.3, 164.9, 155.7, 147.8, 142.2, 139.2, 145.3, 149.1, 154.9, 169.6, 156.4, 151.6, 138.9, 128.8, 126.8, 123.3, 115.3, 105.8
Rhode Island, 118.6, 132.0, 114.7, 112.9, 113.4, 115.9, 118.7, 107.7, 115.2, 112.4, 122.0, 122.9, 94.5, 101.1, 87.3, 92.3, 83.2, 71.6, 66.7, 79.5, 88.0, 93.0, 85.7, 77.1, 67.7, 72.3, 69.3, 71.8, 83.7, 74.5, 74.3, 70.8, 68.1, 64.8, 50.1
South Carolina, 118.1, 120.2, 122.4, 104.9, 103.3, 93.9, 99.5, 101.1, 124.7, 130.2, 152.4, 171.1, 170.6, 187.3, 186.1, 175.9, 172.0, 176.2, 154.9, 148.2, 155.0, 147.4, 140.7, 139.8, 130.3, 133.2, 136.6, 144.2, 147.2, 126.1, 108.2, 99.1, 95.5, 83.1, 82.7
South Dakota, 20.1, 17.8, 17.1, 15.9, 14.9, 17.1, 16.2, 12.3, 12.2, 11.7, 12.4, 18.8, 16.9, 15.0, 18.7, 25.9, 18.9, 23.3, 20.2, 14.0, 17.4, 13.6, 15.4, 13.6, 14.5, 18.7, 20.2, 14.8, 16.7, 14.4, 18.9, 20.3, 18.8, 18.5, 23.4
Tennessee, 180.6, 171.7, 175.7, 172.8, 166.8, 180.9, 207.7, 193.8, 173.6, 160.4, 191.2, 212.9, 218.2, 220.1, 207.4, 223.2, 223.7, 214.0, 178.0, 156.8, 166.4, 177.7, 162.6, 161.0, 150.4, 168.1, 184.5, 179.2, 173.8, 153.3, 131.5, 126.3, 126.3, 112.9, 110.9
Texas, 208.5, 193.3, 220.0, 189.3, 178.5, 193.5, 239.9, 226.7, 234.2, 223.1, 260.8, 286.5, 252.5, 224.4, 204.8, 179.8, 171.5, 157.0, 145.1, 146.7, 145.1, 165.4, 172.9, 167.5, 159.4, 156.1, 158.5, 162.2, 155.1, 153.4, 130.1, 111.7, 116.6, 120.0, 115.7
Utah, 80.2, 84.8, 86.5, 64.3, 58.0, 55.2, 58.6, 52.8, 54.1, 52.6, 56.9, 55.1, 55.9, 58.6, 63.6, 67.1, 68.9, 68.4, 55.1, 54.4, 55.6, 52.5, 49.2, 53.5, 51.1, 44.0, 48.7, 53.9, 51.9, 46.8, 45.7, 38.3, 38.7, 43.0, 44.6
Vermont, 38.9, 27.6, 23.1, 27.8, 23.0, 20.9, 22.2, 16.8, 16.0, 18.0, 11.7, 11.8, 8.9, 9.0, 12.2, 10.9, 15.4, 13.4, 9.5, 10.9, 19.2, 17.5, 12.5, 10.0, 12.6, 12.2, 18.3, 12.7, 15.0, 17.9, 12.1, 15.8, 18.2, 12.0, 11.2
Virginia, 120.1, 133.2, 122.2, 110.5, 102.3, 100.2, 105.7, 105.8, 112.5, 106.5, 123.3, 137.6, 137.8, 142.0, 132.8, 131.7, 122.6, 124.5, 105.6, 101.1, 88.9, 95.3, 95.5, 91.1, 92.2, 99.1, 101.8, 99.8, 96.2, 80.5, 70.8, 66.9, 57.6, 55.3, 51.5
Washington, 135.1, 130.0, 117.9, 105.4, 120.6, 132.0, 135.1, 141.4, 145.9, 140.1, 130.0, 145.5, 139.8, 137.1, 139.7, 132.7, 119.0, 120.0, 115.6, 100.9, 98.6, 99.0, 95.5, 93.3, 94.5, 92.0, 100.4, 94.0, 98.0, 100.7, 87.9, 82.5, 84.1, 83.6, 79.9
West Virginia, 48.5, 50.2, 49.8, 44.2, 38.1, 37.6, 41.0, 31.2, 34.2, 42.7, 37.9, 43.3, 43.5, 43.0, 42.4, 42.7, 40.4, 43.1, 37.3, 36.6, 41.4, 39.3, 36.4, 38.7, 42.7, 45.0, 46.9, 46.7, 49.4, 50.2, 41.8, 43.2, 45.0, 35.2, 35.2
Wisconsin, 70.7, 68.6, 71.2, 71.9, 66.4, 70.2, 72.8, 66.4, 67.1, 75.2, 112.7, 119.0, 119.8, 113.4, 112.9, 105.1, 96.6, 100.9, 85.6, 84.7, 84.6, 82.2, 86.6, 80.3, 73.9, 82.4, 100.1, 97.8, 91.7, 86.7, 79.3, 80.6, 82.0, 84.2, 88.0
Wyoming, 44.4, 41.9, 34.3, 29.8, 23.1, 20.0, 22.5, 20.0, 15.1, 17.1, 15.9, 17.2, 18.0, 17.2, 16.6, 17.9, 20.4, 17.7, 16.2, 15.4, 14.2, 17.0, 18.6, 16.7, 13.2, 15.3, 14.0, 16.1, 16.3, 14.3, 13.6, 12.5, 10.6, 12.7, 9.1
